hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1433905203,false,0,0,76,5
1131050515,1433905144,false,3,0,5,0
0439010518,1433901915,false,1,0,17,0
0601160016,,true,3,0,44,0
1101020018,1433905200,false,4,1,9,4
1145010010,1433904540,false,0,0,36,1
1142120001,1433905202,true,8,23,61,0
0936060016,1433904993,false,1,0,3,0
1101150011,1433904600,false,4,8,31,0
1434020015,1433905113,false,6,0,5,0
1301200010,1433905200,false,4,0,32,2
1122010012,1433905184,false,6,0,16,3
0401180014,1433901914,true,4,5,108,8
1302050014,1433905191,true,5,34,84,0
0936050029,1433905200,false,1,0,5,0
0501110514,,false,0,0,18,7
1317040011,1433905203,false,1,0,18,1
1536030075,1433905200,false,0,0,8,0
1137010024,1433905196,false,0,0,44,3
1331040513,1433905203,false,3,12,18,0
1131010011,1433905200,false,5,32,65,1
0421040011,1433905204,true,3,21,36,4
1111060015,1433905202,false,0,0,27,0
0943030019,1433905200,false,1,0,7,1
1132070011,1433905202,true,3,37,180,2
1142100017,1433905203,true,1,95,132,4
0937010019,1433905205,false,0,0,12,0
1140010510,1433905203,false,3,0,34,1
1105050012,,false,1,0,15,0
1141090512,,false,5,0,17,0
0602030026,1433904900,true,1,23,69,0
1141310019,,false,4,0,47,1
0617060018,1433905252,true,4,8,50,1
1101100011,1433905320,false,2,0,47,0
