hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1101150011,1445941800,false,0,0,18,0
1131050515,1445942344,false,2,0,1,0
1317050017,1445942404,false,1,0,46,0
1317040011,1445942402,false,6,0,7,2
0439010518,1445940304,false,0,0,8,1
1142120001,1445942402,false,5,0,2,0
0602030026,1445942100,true,4,13,53,1
1536030075,1445942400,false,2,0,3,0
0936050029,1445942400,false,1,0,0,0
1137010024,1445942404,false,0,0,11,0
0617060018,1445942402,false,4,0,43,2
1111060015,1445942402,false,2,0,11,0
1132070011,1445942402,false,4,0,86,3
1302050014,1445942390,true,0,0,0,0
1140010510,1445942402,false,0,0,12,0
0421040011,1445942404,false,6,0,19,1
1142100017,1445942403,true,3,151,115,4
0601160016,,false,2,0,20,0
1301200010,1445942340,false,1,0,8,0
1101020018,1445943600,false,4,0,3,1
1434020015,1445942252,false,2,0,0,0
0401180014,1445940304,false,2,7,68,0
1145010010,1445941140,false,0,0,9,0
0936060016,1445942400,false,2,0,0,0
1122010012,1445942391,false,7,0,27,2
1131010011,1445942400,false,2,32,59,2
1331040513,1445942405,false,4,10,16,1
0501110514,,false,1,0,9,0
0937010019,1445942408,false,0,0,1,0
0943030019,1445942340,false,1,0,3,0
1141090512,,false,1,0,22,0
1141310019,,false,2,0,22,0
1105050012,,false,0,0,1,0
1101100011,1445942520,false,1,0,38,1
